"","name","energy_mean","energy_sd","cpu_util_mean","cpu_util_sd","memory_usage_mean","memory_usage_sd","time_mean","time_sd"
"22","iflyer","61.702074","11.328024393854","26.5","6.02310366653088","2519741.7013314","59040.9343972301","3538.5","741.360798352147"
"23","iliketubes","51.343092","1.89090492797073","29.1","0.994428926011753","2523191.73933696","62748.5289772741","2562.2","213.93654303191"
"24","japassie","39.8567736","3.54140891108067","16.5810810810811","3.71927529020911","2507286.72155853","121879.099056366","3560.8","1488.3151398664"
"25","kasteelhoensbroek","37.93653","2.17955962943894","15.3739130434783","1.13658675321994","2516938.10366312","104649.453663331","2969.1","800.211978860046"
"26","kenengba","61.1143272","5.45445487375213","29.4566666666667","1.25767274787233","2539318.98247292","58733.4296524749","4641.6","626.018494579478"
"27","kpoe","36.9673812","16.0933345519993","15.6221518987342","1.22508297836052","2467244.41044049","78121.9083582274","5223.5","11555.5804436164"
"28","legalaidnc","57.2741532","1.57876546408084","30.1","0.737864787372622","2552031.84179038","59276.7308536442","3145.5","214.733555831407"
"29","lekhafoods","59.8336632","2.09723118243612","28.3","2.11081869319834","2524956.94042287","60513.7403767391","3406.5","185.581518476383"
"30","magnetadservices","31.9565376","1.88305515756326","14.8","1.87379590967403","2549954.42391016","103535.713718612","2150.6","211.190908895246"
"31","marketlii","37.9117872","3.79937971969615","14.9","1.10050493461461","2572928.196641","97852.0147484323","2586.1","397.796835359738"
"32","megatorrentshd","34.445052","5.57501019548628","14.6","1.95505043981536","2526314.16819861","107292.493466191","2046.4","369.273521029241"
"33","mrob","50.1004476","2.44642694172902","28.7","1.41813649241218","2540660.86423703","73219.6038134764","2447.8","428.735556931983"
"34","nflpenalties","36.9816984","2.59088600912537","15.3","0.823272602348565","2576042.97549142","148182.435327615","2770.2","313.407012613878"
"35","pieterhugo","34.0255476","1.71161286720146","15.6","0.843274042711568","2495199.1369663","73627.354417294","2376.3","221.074170560219"
"36","porn5f","36.4986828","2.69578407742727","15.4","0.516397779494322","2538887.624616","88812.336553914","2743.5","371.855482681108"
"37","quechua","58.9786308","4.6382148311658","28.1","0.994428926011753","2532205.28480486","69033.1521360202","3652.5","672.754578001683"
"38","renesia","33.8932764","1.64062164481687","15.5","0.707106781186548","2484871.05392775","82597.8650574405","2337.1","331.703498792387"
"39","sciencebeta","45.3225888","2.38220912148837","28.8","1.22927259430572","2509731.60880586","61616.6166499712","2170","250.916099301916"
"40","spansh","38.9661444","2.66576017782275","15.1173913043478","1.24436136338626","2492480.78704343","96871.1210498077","3859.2","423.770325635112"
"41","sportravel","72.3190068","5.48596796950022","29.5","1.43372087784044","2586874.43117725","67771.0363437877","6067","995.22147172264"
"42","swimply","43.69617","3.45219072972627","16.9682474916388","2.43166244677036","2556419.30348558","111873.558422396","5188.9","399.519280580494"
"43","telfer","51.1136928","3.23472851149496","28.2","1.13529242439509","2531471.11456264","43098.6674464404","2628.4","133.50339155076"
"44","ubersocial","45.2536416","5.54272412711526","29.1","1.19721899973786","2519980.31082342","60462.7953837146","2186.5","239.406325916607"
"45","velovita","67.0836384","4.87952212414879","28.4","0.966091783079296","2554170.15568","68060.8583659292","5882.6","2402.29960200175"
"46","vergecampus","39.9892932","17.4158019243008","16.4","3.77712412645741","2522192.82144313","131136.298709666","2357.2","590.251132993406"
"47","visit","31.5681408","3.04807328452687","15.1","2.18326971917504","2534176.06425447","126941.071870338","1374.9","173.526462919444"
"48","worldlink","42.3500976","9.67549965802168","15.722641509434","4.38764830135595","2484401.3885848","100545.587480515","4950.9","7149.55934073329"
"49","xobor","34.4781144","2.41053334568299","15.8","0.632455532033676","2484668.34780964","88190.5181066142","1955.9","129.231446121548"
"50","zuver","55.3709052","4.25526072132818","22.1862314589981","6.54259828456768","2531287.58658967","68848.7312683184","12063.1","3715.48090053256"
